Date,Grade,Member Count
2026-07-27,Graduate Student Member,122
2026-07-27,Student Member,1085
2026-09-01,Graduate Student Member,95
2026-09-01,Member,538
2026-09-01,Student Member,980
2025-09-29,Graduate Student Member,107
2025-09-29,Member,538
2025-09-29,Student Member,830
2025-11-26,Graduate Student Member,119
2025-11-26,Student Member,1009
2025-12-22,Graduate Student Member,109
2025-12-22,Student Member,1029
2026-01-22,Graduate Student Member,133
2026-01-22,Member,542
2026-01-22,Student Member,1083
2026-09-10,Graduate Student Member,95
2026-09-10,Member,541
2026-09-10,Student Member,990
2026-09-11,Graduate Student Member,96
2026-09-11,Member,543
2026-09-11,Student Member,992
