Unit Name,SPO ID,Unit Type,University,Society,Member Count,Members Required,Members Met,Events (General),Events (Technical),Events (Unreported),Events Required,Events Met,Chair,Counselor,Advisor,Vice Chair,Secretary,Treasurer,Webmaster,Officers Status,Requirements Met,Overall Vitality
"Antonio Narino University,WIE",SBA64411,Affinity Group,Antonio Narino University,WIE,38,6,Yes,1,,0,2,No,No,,Yes,Yes,Yes,Yes,Yes,Partial,1/3,Not Met
"Corporación Universitaria del Huila – CORHUILA,WIE",SBA60236869,Affinity Group,Corporación Universitaria del Huila – CORHUILA,WIE,8,6,Yes,1,,1,2,No,No,,Yes,No,No,No,No,Partial,1/3,Not Met
"Escuela Colombiana De Ing Julio Garavito, WIE",SBA27011,Affinity Group,Escuela Colombiana De Ingenieria Julio Garavito,WIE,3,6,No,0,,0,2,No,Yes,,No,No,No,No,No,Partial,0/3,Not Met
"Escuela Colombiana de Carreras Industriales,WIE",SBA05421,Affinity Group,Escuela Colombiana de Carreras Industriales,WIE,16,6,Yes,3,,0,2,Yes,No,,Yes,Yes,Yes,Yes,Yes,Partial,2/3,Not Met
"Escuela Tecnologica Instituto Tecnico Central, WIE",SBA13041,Affinity Group,Escuela Tecnologica Instituto Tecnico Central,WIE,5,6,No,0,,0,2,No,No,,Yes,No,No,No,No,Partial,0/3,Not Met
"Granada Univ Militar Nueva, WIE",SBA63981,Affinity Group,Granada Univ Militar Nueva,WIE,7,6,Yes,0,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Icesi University, WIE",SBA02571,Affinity Group,Icesi University,WIE,11,6,Yes,4,,3,2,Yes,Yes,,Yes,Yes,No,Yes,No,Met,3/3,Met
"Institucion Universitaria CESMAG,WIE",SBA03103,Affinity Group,Institucion Universitaria CESMAG,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Pontificia Univ Javeriana Sede Bogota, WIE",SBA04591,Affinity Group,Pontificia Univ Javeriana Sede Bogota,WIE,6,6,Yes,2,,0,2,Yes,Yes,,No,Yes,Yes,Yes,No,Partial,2/3,Not Met
"Univ Cooperativa De Colombia Sede Bogota,WIE",SBA62391,Affinity Group,Univ Cooperativa De Colombia Sede Bogota,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Univ Dist Francisco Jose de Caldas - Bolivar,WIE",SBA18011,Affinity Group,Univ Distrital Francisco Jose de Caldas - Bolivar,WIE,20,6,Yes,0,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Univ Distrital Francisco Jose De Cal, WIE",SBA04331,Affinity Group,Universidad Distrital Francisco Jose de Caldas,WIE,18,6,Yes,0,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Univ El Bosque, WIE",SBA60951,Affinity Group,Universidad El Bosque,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Univ Nacional Sede Manizales, WIE",SBA61301,Affinity Group,Universidad Nacional sede Manizales,WIE,1,6,No,5,,0,2,Yes,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Univ Pontificia Bolivariana (UPB), WIE",SBA09021,Affinity Group,Univ Pontificia Bolivariana (UPB),WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Univ Santo Tomas De Aquino, WIE",SBA09851,Affinity Group,Univ Santo Tomas De Aquino,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
Univ. Distrital Francisco Jose de Caldas SB SIGHT,SBA04331S,Affinity Group,Universidad Distrital Francisco Jose de Caldas,SIGHT,43,6,Yes,1,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Universidad Autonoma de Occidente,WIE",SBA29341,Affinity Group,Universidad Autonoma de Occidente,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad Catolica de Colombia,SIGHT",SBA62201S,Affinity Group,Universidad Catolica de Colombia,SIGHT,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad Catolica de Colombia,WIE",SBA62201,Affinity Group,Universidad Catolica de Colombia,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad Francisco De Paula Santander,WIE",SBA10591,Affinity Group,Universidad Francisco de Paula Santander,WIE,1,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad Industrial de Santander, WIE",SBA10511,Affinity Group,Universidad Industrial de Santander,WIE,12,6,Yes,3,,0,2,Yes,No,,No,No,No,No,No,Not Met,2/3,Not Met
"Universidad Nacional Abierta y a Distancia,WIE",SBA13071,Affinity Group,Universidad Nacional Abierta y a Distancia,WIE,8,6,Yes,0,,0,2,No,No,,Yes,Yes,Yes,Yes,Yes,Partial,1/3,Not Met
"Universidad Nacional De Colombia Sede-Bogota,WIE",SBA06431,Affinity Group,Universidad Nacional De Colombia Sede Bogota,WIE,16,6,Yes,1,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Universidad Piloto de Colombia,WIE",SBA81721,Affinity Group,Universidad Piloto de Colombia,WIE,1,6,No,1,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad Santiago de Cali,WIE",SBA64461,Affinity Group,Universidad Santiago de Cali,WIE,14,6,Yes,2,,2,2,Yes,Yes,,No,Yes,Yes,Yes,Yes,Partial,2/3,Not Met
"Universidad Santo Tomas - Tunja, SIGHT",SBA04081S,Affinity Group,Universidad Santo Tomas - Tunja,SIGHT,26,6,Yes,0,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Universidad Santo Tomas - Tunja, WIE",SBA04081,Affinity Group,Universidad Santo Tomas - Tunja,WIE,20,6,Yes,0,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Universidad Sergio Arboleda,WIE",SBA01201,Affinity Group,Universidad Sergio Arboleda,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad Surcolombiana, WIE",SBA16735,Affinity Group,Universidad Surcolombiana,WIE,19,6,Yes,0,,1,2,No,Yes,,No,No,No,No,No,Partial,1/3,Not Met
"Universidad Tecnologica de Pereira, WIE",SBA17431,Affinity Group,Universidad Tecnologica de Pereira,WIE,3,6,No,1,,0,2,No,No,,Yes,No,No,No,No,Partial,0/3,Not Met
"Universidad de Narino, WIE",SBA64151,Affinity Group,Universidad de Narino,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad de San Buenaventura,WIE",SBA62571,Affinity Group,Universidad de San Buenaventura,WIE,0,6,No,0,,0,2,No,No,,No,No,No,No,No,Not Met,0/3,Not Met
"Universidad de los Andes, WIE",SBA12991,Affinity Group,Universidad de los Andes,WIE,41,6,Yes,4,,1,2,Yes,No,,No,Yes,Yes,Yes,Yes,Not Met,2/3,Not Met
"Universidad del Cauca,WIE",SBA09161,Affinity Group,Universidad del Cauca,WIE,36,6,Yes,1,,0,2,No,No,,No,No,No,No,No,Not Met,1/3,Not Met
"Universidad del Quindio,WIE",SBA65911,Affinity Group,Universidad del Quindio,WIE,7,6,Yes,4,,1,2,Yes,No,,No,Yes,No,No,No,Not Met,2/3,Not Met
"Universidad del Valle,WIE",SBA95801,Affinity Group,Universidad del Valle,WIE,32,6,Yes,2,,0,2,Yes,No,,Yes,No,No,No,No,Partial,2/3,Not Met
Antonio Narino University,STB64411A,Student Branch,Antonio Narino University,,48,12,Yes,4,,0,4,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Met,3/3,Met
Corporacion Universitaria Minuto de Dios UNIMINUTO,STB60103228,Student Branch,Corporacion Universitaria Minuto de Dios UNIMINUTO,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Corporacion Universitaria Unitec,STB18371,Student Branch,Corporacion Universitaria Unitec,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Corporación Universitaria del Huila – CORHUILA,STB60236869,Student Branch,Corporación Universitaria del Huila – CORHUILA,,32,12,Yes,9,,1,4,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Met,3/3,Met
De La Salle University,STB40010389,Student Branch,De La Salle University,,6,12,No,0,,0,4,No,Yes,Yes,,No,No,No,No,Met,1/3,Not Met
Escuela Colombiana De Ingenieria Julio Garavito,STB27011,Student Branch,Escuela Colombiana De Ingenieria Julio Garavito,,9,12,No,0,,0,4,No,Yes,Yes,,Yes,Yes,No,Yes,Met,1/3,Not Met
Escuela Colombiana de Carreras Industriales,STB05421,Student Branch,Escuela Colombiana de Carreras Industriales,,18,12,Yes,1,,0,4,No,Yes,Yes,,Yes,Yes,Yes,Yes,Met,2/3,Not Met
Escuela De Aviacion Del Ejercito,STB60204105,Student Branch,Escuela De Aviacion Del Ejercito,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Escuela Tecnologica Instituto Tecnico Central,STB13041,Student Branch,Escuela Tecnologica Instituto Tecnico Central,,7,12,No,1,,0,4,No,No,Yes,,No,No,No,No,Partial,0/3,Not Met
Fundacion Universitaria Compensar,STB60222205,Student Branch,Fundacion Universitaria Compensar,,3,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Granada Univ Militar Nueva,STB63981,Student Branch,Granada Univ Militar Nueva,,8,12,No,0,,1,4,No,Yes,Yes,,Yes,Yes,No,No,Met,1/3,Not Met
Icesi University,STB02571,Student Branch,Icesi University,,41,12,Yes,8,,0,4,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Met,3/3,Met
Institucion Universitaria CESMAG,STB03103,Student Branch,Institucion Universitaria CESMAG,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Instituto Tecnologico Metropolitano,STB12561,Student Branch,Instituto Tecnologico Metropolitano,,1,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Pontificia Univ Javeriana Sede Bogota,STB04591,Student Branch,Pontificia Univ Javeriana Sede Bogota,,47,12,Yes,69,,0,4,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Met,3/3,Met
Pontificia Universidad Javeriana-Cali,STB60181,Student Branch,Pontificia Universidad Javeriana-Cali,,1,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Servicio Nacional de Aprendizale - Antioquia,STB09881,Student Branch,Servicio Nacional de Aprendizale - Antioquia,,5,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Unidades Tecnologicas de Santander,STB60137284,Student Branch,Unidades Tecnologicas de Santander,,15,12,Yes,0,,0,4,No,Yes,Yes,,No,No,No,No,Met,2/3,Not Met
Univ Cooperativa De Colombia Sede Bogota,STB62391,Student Branch,Univ Cooperativa De Colombia Sede Bogota,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Univ De Ibague - Coruniversitaria,STB62121,Student Branch,Univ De Ibague - Coruniversitaria,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Univ Distrital Francisco Jose de Caldas - Bolivar,STB18011,Student Branch,Univ Distrital Francisco Jose de Caldas - Bolivar,,25,12,Yes,0,,0,4,No,Yes,Yes,,Yes,Yes,Yes,Yes,Met,2/3,Not Met
Univ Pontificia Bolivariana (UPB),STB09021,Student Branch,Univ Pontificia Bolivariana (UPB),,5,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Univ Santo Tomas De Aquino,STB09851,Student Branch,Univ Santo Tomas De Aquino,,1,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Universidad Autonoma de Bucaramanga,STB65361,Student Branch,Universidad Autonoma de Bucaramanga,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Universidad Autonoma de Occidente,STB29341,Student Branch,Universidad Autonoma de Occidente,,1,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Universidad Catolica de Colombia,STB62201,Student Branch,Universidad Catolica de Colombia,,2,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Universidad Central,STB65251,Student Branch,Universidad Central,,11,12,No,1,,2,4,No,Yes,No,,Yes,Yes,Yes,No,Partial,0/3,Not Met
Universidad Distrital Francisco Jose de Caldas,STB04331,Student Branch,Universidad Distrital Francisco Jose de Caldas,,80,12,Yes,4,,6,4,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Met,3/3,Met
Universidad EAFIT,STB64421,Student Branch,Universidad EAFIT,,4,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Universidad Francisco de Paula Santander,STB10591,Student Branch,Universidad Francisco de Paula Santander,,2,12,No,0,,0,4,No,Yes,Yes,,No,No,No,No,Met,1/3,Not Met
Universidad INCCA de Colombia,STB03411,Student Branch,Universidad INCCA de Colombia,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Universidad Industrial de Santander,STB10511,Student Branch,Universidad Industrial de Santander,,68,12,Yes,10,,5,4,Yes,Yes,Yes,,Yes,Yes,No,Yes,Met,3/3,Met
Universidad Jorge Tadeo Lozano,STB65061A,Student Branch,Universidad Jorge Tadeo Lozano,,20,12,Yes,18,,1,4,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Met,3/3,Met
Universidad Mariana,STB14023,Student Branch,Universidad Mariana,,0,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
Universidad Nacional Abierta y a Distancia,STB13071,Student Branch,Universidad Nacional Abierta y a Distancia,,27,12,Yes,0,,0,4,No,Yes,Yes,,No,Yes,Yes,Yes,Met,2/3,Not Met
Universidad Nacional De Colombia Sede Bogota,STB06431,Student Branch,Universidad Nacional De Colombia Sede Bogota,,43,12,Yes,4,,1,4,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Met,3/3,Met
Universidad Nacional de Colombia Sede Medellin,STB66021,Student Branch,Universidad Nacional de Colombia Sede Medellin,,10,12,No,0,,0,4,No,No,No,,No,No,No,No,Not Met,0/3,Not Met
